Date of Arrest (DoA),Year/Month,Charge 1,Charge 2,Charge 3,SEX,RACE,Age (on DoA),Primary Charge,Code,Age Group,Eth/Race
08/23/2019,2019-August,490.5(A) PC,,,M,White,26,Petty Theft,Penal Code - Larceny,26-35,White
08/25/2019,2019-August,23152(a) VC,23152(b) VC,,M,Hispanic,34,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
08/26/2019,2019-August,647(f) PC,,,M,White,62,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,56-65,White
08/27/2019,2019-August,11377(A) HS,22210 PC,O/W MISD,M,White,31,Possession - controlled subst,Health & Safety,26-35,White
08/27/2019,2019-August,11350(A) HS,,,M,White,60,Possession - controlled subst,Health & Safety,56-65,White
08/28/2019,2019-August,236 PC,243.4(A) PC,,M,Asian Indian,27,False Imprisonment,Penal Code - Against person,26-35,Asian
08/28/2019,2019-August,11377(A) HS,,,M,Hispanic,38,Possession - controlled subst,Health & Safety,36-45,Hispanic
08/28/2019,2019-August,11377(A) HS,,,F,White,27,Possession - controlled subst,Health & Safety,26-35,White
08/28/2019,2019-August,273.5(A) PC,236 PC,,M,White,31,Corporal Injury spouse/partner,Penal Code - Against person,26-35,White
08/29/2019,2019-August,11377(A) HS,11364(a) HS,,M,White,37,Possession - controlled subst,Health & Safety,36-45,White
08/30/2019,2019-August,11351 HS,12022.1(b) PC,1203.2(a) PC,M,Hispanic,18,Possession for sale - contr subst,Health & Safety,18-25,Hispanic
08/30/2019,2019-August,12021(A) PC,25850(c)(1) PC,30305(a)(1) PC,M,White,38,Sentence Enhancement - Firearm,Penal Code,36-45,White
08/30/2019,2019-August,12021(A) PC,25850(c)(1) PC,30305(a)(1) PC,M,White,50,Sentence Enhancement - Firearm,Penal Code,46-55,White
09/01/2019,2019-September,488 PC,496(A) PC,,M,White,37,Petty Theft,Penal Code - Larceny,36-45,White
09/04/2019,2019-September,11377(A) HS,,,M,Black,55,Possession - controlled subst,Health & Safety,46-55,African-Amer
09/04/2019,2019-September,11550(A) HS,1203.2(a)(1) PC,,M,White,37,Under the Influence - Narcotics,Health & Safety,36-45,White
09/04/2019,2019-September,647(f) PC,,,M,White,41,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
09/04/2019,2019-September,273.5(A) PC,207(A) PC,,M,White,54,Corporal Injury spouse/partner,Penal Code - Against person,46-55,White
09/05/2019,2019-September,182(A)(1) PC,490.4(a)(1) PC,,F,Black,22,Conspiracy to commit a crime,Penal Code - Public Justice,18-25,African-Amer
09/05/2019,2019-September,236 PC,242 PC,,M,White,37,False Imprisonment,Penal Code - Against person,36-45,White
09/06/2019,2019-September,647(h) PC,417(A)(2) PC,22810 PC,M,White,21,Disorderly Conduct - Loiter/Prowl,Penal Code - Mal Misch & Disord Cond,18-25,White
09/07/2019,2019-September,490.5(A) PC,,,M,White,41,Petty Theft,Penal Code - Larceny,36-45,White
09/08/2019,2019-September,23152(a) VC,23152(b) VC,23140(a) VC,M,Hispanic,19,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
09/09/2019,2019-September,11364(a) HS,11377(A) HS,647(h) PC,M,Hispanic,34,Drug paraphernalia,Health & Safety,26-35,Hispanic
09/09/2019,2019-September,11364(a) HS,,,M,Hispanic,36,Drug paraphernalia,Health & Safety,36-45,Hispanic
09/12/2019,2019-September,12500(A) VC,21806(A)(1) VC,,F,Chinese,21,license violation,Vehicle Code,18-25,Asian
09/12/2019,2019-September,368(B) PC,,,M,White,22,Elder Abuse,Penal Code - Against person,18-25,White
09/12/2019,2019-September,11377(A) HS,466 PC,647(h) PC,M,White,27,Possession - controlled subst,Health & Safety,26-35,White
09/12/2019,2019-September,11350(A) HS,O/W FEL,,M,White,60,Possession - controlled subst,Health & Safety,56-65,White
09/13/2019,2019-September,11375(B) HS,647(f) PC,148.9(B) PC,M,White,21,Possession for sale - contr subst,Health & Safety,18-25,White
09/13/2019,2019-September,23152(a) VC,23152(b) VC,,M,White,23,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
09/13/2019,2019-September,490.5(A) PC,3056 PC,,M,White,40,Petty Theft,Penal Code - Larceny,36-45,White
09/15/2019,2019-September,242 PC,,,M,Hispanic,19,Battery,Penal Code - Against person,18-25,Hispanic
09/15/2019,2019-September,12500(A) VC,23152(a) VC,23152(b) VC,M,Hispanic,50,license violation,Vehicle Code,46-55,Hispanic
09/16/2019,2019-September,11364(a) HS,,,M,White,39,Drug paraphernalia,Health & Safety,36-45,White
09/16/2019,2019-September,11364(a) HS,,,M,White,45,Drug paraphernalia,Health & Safety,36-45,White
09/17/2019,2019-September,11364(a) HS,11377(A) HS,647(h) PC,M,Hispanic,26,Drug paraphernalia,Health & Safety,26-35,Hispanic
09/17/2019,2019-September,11364(a) HS,,,M,Hispanic,42,Drug paraphernalia,Health & Safety,36-45,Hispanic
09/18/2019,2019-September,3056 PC,11364(a) HS,11377(A) HS,M,Hispanic,22,Parole Violation,Penal Code,18-25,Hispanic
09/18/2019,2019-September,11550(A) HS,,,M,White,24,Under the Influence - Narcotics,Health & Safety,18-25,White
09/18/2019,2019-September,11364(a) HS,3056 PC,,M,White,39,Drug paraphernalia,Health & Safety,36-45,White
09/20/2019,2019-September,11378 HS,11375(B) HS,23152(f) VC,M,Hispanic,31,Possession for sale - contr subst,Health & Safety,26-35,Hispanic
09/21/2019,2019-September,11377(A) HS,490.5(A) PC,,F,White,43,Possession - controlled subst,Health & Safety,36-45,White
09/22/2019,2019-September,23140(a) VC,22350 VC,,M,Chinese,19,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
09/22/2019,2019-September,647(f) PC,,,F,White,21,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
09/23/2019,2019-September,11364(a) HS,,,M,Black,42,Drug paraphernalia,Health & Safety,36-45,African-Amer
09/25/2019,2019-September,11364(a) HS,,,M,White,30,Drug paraphernalia,Health & Safety,26-35,White
09/26/2019,2019-September,459.5 (a) PC,,,F,White,20,Burglary,Penal Code - Property Crimes,18-25,White
09/27/2019,2019-September,11364(a) HS,647(f) PC,,M,White,27,Drug paraphernalia,Health & Safety,26-35,White
09/28/2019,2019-September,273.5(A) PC,,,M,Hispanic,26,Corporal Injury spouse/partner,Penal Code - Against person,26-35,Hispanic
09/28/2019,2019-September,23152(a) VC,23152(b) VC,,M,White,32,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
09/28/2019,2019-September,490.5(A) PC,,,F,White,40,Petty Theft,Penal Code - Larceny,36-45,White
09/29/2019,2019-September,496(A) PC,647(h) PC,,M,Hispanic,21,Receives Stolen Property,Penal Code - Larceny,18-25,Hispanic
09/29/2019,2019-September,530.5 PC,484e(a) PC,,M,White,24,Identity Theft,Penal Code - Property Crimes,18-25,White
10/02/2019,2019-October,11377(A) HS,,,M,Black,42,Possession - controlled subst,Health & Safety,36-45,African-Amer
10/02/2019,2019-October,11364(a) HS,11377(A) HS,,M,Hispanic,38,Drug paraphernalia,Health & Safety,36-45,Hispanic
10/02/2019,2019-October,537E(A)(1) PC,182(A)(1) PC,,M,Hispanic,39,Stolen Property,Penal Code - Property Crimes,36-45,Hispanic
10/02/2019,2019-October,10851(A) VC,,,F,Hispanic,44,car theft or tampering,Vehicle Code,36-45,Hispanic
10/02/2019,2019-October,11364(a) HS,11377(A) HS,,F,White,38,Drug paraphernalia,Health & Safety,36-45,White
10/02/2019,2019-October,11364(a) HS,182(A)(1) PC,484E(2) PC,F,White,38,Drug paraphernalia,Health & Safety,36-45,White
10/03/2019,2019-October,21310 PC,21810 PC,466 PC,M,White,33,Illegal possession of a dirk/dagger,Penal Code - Weapons,26-35,White
10/03/2019,2019-October,11364(a) HS,11377(A) HS,1203.2(a) PC,M,White,34,Drug paraphernalia,Health & Safety,26-35,White
10/03/2019,2019-October,11350(A) HS,11364(a) HS,11378 HS,F,White,53,Possession - controlled subst,Health & Safety,46-55,White
10/03/2019,2019-October,490.5(A) PC,,,M,White,63,Petty Theft,Penal Code - Larceny,56-65,White
10/05/2019,2019-October,207(A) PC,236 PC,422 PC,M,Hispanic,20,Kidnapping,Penal Code - Against person,18-25,Hispanic
10/05/2019,2019-October,243(b) PC,148(a)(1) PC,,M,White,27,Battery on a PO,Penal Code - Against person,26-35,White
10/07/2019,2019-October,490.5(A) PC,,,M,White,33,Petty Theft,Penal Code - Larceny,26-35,White
10/08/2019,2019-October,22810 PC,11377(A) HS,11364(a) HS,M,Black,42,Illegal possession of tear gas,Penal Code - Weapons,36-45,African-Amer
10/08/2019,2019-October,11364(a) HS,1203.2(a)(1) PC,21310 PC,M,White,27,Drug paraphernalia,Health & Safety,26-35,White
10/10/2019,2019-October,11351 HS,11352(A) HS,3056 PC,M,Hispanic,28,Possession for sale - contr subst,Health & Safety,26-35,Hispanic
10/10/2019,2019-October,11351 HS,,,M,White,30,Possession for sale - contr subst,Health & Safety,26-35,White
10/10/2019,2019-October,647(f) PC,1203.2(a) PC,,M,White,30,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
10/10/2019,2019-October,11366 HS,,,M,White,56,Narcotics - maintaining a place or in a place,Health & Safety,56-65,White
10/11/2019,2019-October,2800.1(a) VC,,,M,Hispanic,26,Fleeing from PO,Vehicle Code,26-35,Hispanic
10/11/2019,2019-October,212.5(A) PC,,,M,Hispanic,33,Robbery,Penal Code - Against person,26-35,Hispanic
10/11/2019,2019-October,23152(a) VC,23152(b) VC,,F,Hispanic,40,Drug or EtOH vehicle violtion,Vehicle Code,36-45,Hispanic
10/12/2019,2019-October,11350(A) HS,11364(a) HS,4060 BP,M,White,34,Possession - controlled subst,Health & Safety,26-35,White
10/14/2019,2019-October,422 PC,236 PC,211 PC,M,Other Asian,44,Criminal Threats,Penal Code - Threats,36-45,Asian
10/14/2019,2019-October,11364(a) HS,11377(A) HS,1203.2(a)(1) PC,M,White,48,Drug paraphernalia,Health & Safety,46-55,White
10/14/2019,2019-October,11377(A) HS,23223(a) VC,,M,White,53,Possession - controlled subst,Health & Safety,46-55,White
10/15/2019,2019-October,211 PC,11377(A) HS,11364(a) HS,M,White,26,Robbery,Penal Code - Against person,26-35,White
10/17/2019,2019-October,11364(a) HS,11377(A) HS,11550(A) HS,M,White,35,Drug paraphernalia,Health & Safety,26-35,White
10/18/2019,2019-October,211 PC,29800(a)(1) PC,2800.1(a) VC,M,Hispanic,35,Robbery,Penal Code - Against person,26-35,Hispanic
10/19/2019,2019-October,211 PC,,,M,Hispanic,44,Robbery,Penal Code - Against person,36-45,Hispanic
10/22/2019,2019-October,11364(a) HS,11377(A) HS,O/W MISD,M,Black,57,Drug paraphernalia,Health & Safety,56-65,African-Amer
10/23/2019,2019-October,11351 HS,11352(A) HS,,M,Hispanic,43,Possession for sale - contr subst,Health & Safety,36-45,Hispanic
10/24/2019,2019-October,647(f) PC,,,F,White,50,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
10/25/2019,2019-October,4462(B) VC,,,M,White,65,Registration,Vehicle Code,56-65,White
10/26/2019,2019-October,647(f) PC,,,M,White,30,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
10/26/2019,2019-October,245(A)(1) PC,,,M,White,36,Assault with a deadly weapon,Penal Code - Against person,36-45,White
10/27/2019,2019-October,459 PC,242 PC,594(b)(2)(A) PC,M,Hispanic,20,Burglary,Penal Code - Property Crimes,18-25,Hispanic
10/28/2019,2019-October,245(A)(1) PC,422 PC,594(b)(1) PC,M,Black,19,Assault with a deadly weapon,Penal Code - Against person,18-25,African-Amer
10/29/2019,2019-October,11364(a) HS,14601.1(A) VC,,M,White,53,Drug paraphernalia,Health & Safety,46-55,White
10/30/2019,2019-October,487(A) PC,,,F,Other,29,Grand Theft,Penal Code - Larceny,26-35,Other
10/31/2019,2019-October,2800.1(a) VC,,,F,Black,26,Fleeing from PO,Vehicle Code,26-35,African-Amer
10/31/2019,2019-October,23153(a) VC,23153(b) VC,,M,Hispanic,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
10/31/2019,2019-October,14601.2(A) VC,23152(a) VC,23154(a) VC,M,White,25,license violation,Vehicle Code,18-25,White
10/31/2019,2019-October,647(f) PC,,,M,White,45,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
11/01/2019,2019-November,242 PC,415(1) PC,,M,Black,21,Battery,Penal Code - Against person,18-25,African-Amer
11/03/2019,2019-November,243(e)(1) PC,,,M,Hispanic,37,Battery on a spouse/partner,Penal Code - Against person,36-45,Hispanic
11/05/2019,2019-November,459.5 (a) PC,,,F,White,39,Burglary,Penal Code - Property Crimes,36-45,White
11/06/2019,2019-November,245(A)(4) PC,,,M,Black,29,Assault with a deadly weapon,Penal Code - Against person,26-35,African-Amer
11/06/2019,2019-November,69 PC,,,M,White,26,Interfere/Obstruct/Threat Officer,Penal Code,26-35,White
11/06/2019,2019-November,O/W MISD,594(b)(1) PC,602.5 PC,F,White,38,,Penal Code,36-45,White
11/06/2019,2019-November,11378 HS,182(A)(1) PC,530.5(c)(1) PC,M,White,42,Possession for sale - contr subst,Health & Safety,36-45,White
11/06/2019,2019-November,23152(a) VC,23152(b) VC,,M,White,52,Drug or EtOH vehicle violtion,Vehicle Code,46-55,White
11/06/2019,2019-November,11364(a) HS,11378 HS,182(A)(1) PC,M,White,53,Drug paraphernalia,Health & Safety,46-55,White
11/08/2019,2019-November,23152(a) VC,23152(b) VC,,M,White,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
11/09/2019,2019-November,243(d) PC,,,M,Black,42,Battery on a person,Penal Code - Against person,36-45,African-Amer
11/10/2019,2019-November,23152(f) VC,,,F,White,35,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
11/14/2019,2019-November,O/W FEL,,,M,Hispanic,28,,Penal Code,26-35,Hispanic
11/14/2019,2019-November,166(A)(4) PC,,,M,White,37,Violation of a Court Order,Penal Code - Public Justice,36-45,White
11/15/2019,2019-November,11377(A) HS,,,N,Hispanic,33,Possession - controlled subst,Health & Safety,26-35,Hispanic
11/15/2019,2019-November,459 PC,,,M,White,26,Burglary,Penal Code - Property Crimes,26-35,White
11/15/2019,2019-November,14601.1(A) VC,4000(a) VC,,F,White,29,license violation,Vehicle Code,26-35,White
11/16/2019,2019-November,23152(a) VC,23152(b) VC,,M,Other Asian,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
11/16/2019,2019-November,245(A)(1) PC,,,M,Hispanic,21,Assault with a deadly weapon,Penal Code - Against person,18-25,Hispanic
11/16/2019,2019-November,594(b)(2)(A) PC,,,M,White,45,Vandalism,Penal Code - Mal Misch & Disord Cond,36-45,White
11/17/2019,2019-November,273.5(A) PC,,,M,Black,28,Corporal Injury spouse/partner,Penal Code - Against person,26-35,African-Amer
11/17/2019,2019-November,20002(A)(1) VC,23152(a) VC,23152(b) VC,M,Black,34,Hit and Run,Vehicle Code,26-35,African-Amer
11/17/2019,2019-November,647(f) PC,,,M,White,37,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
11/18/2019,2019-November,11364(a) HS,,,M,Hispanic,39,Drug paraphernalia,Health & Safety,36-45,Hispanic
11/20/2019,2019-November,11350(A) HS,11364(a) HS,11378 HS,M,White,48,Possession - controlled subst,Health & Safety,46-55,White
11/21/2019,2019-November,11364(a) HS,11377(A) HS,,M,Black,42,Drug paraphernalia,Health & Safety,36-45,African-Amer
11/22/2019,2019-November,11364(a) HS,647(f) PC,,M,White,45,Drug paraphernalia,Health & Safety,36-45,White
11/23/2019,2019-November,243(d) PC,242 PC,,M,White,26,Battery on a person,Penal Code - Against person,26-35,White
11/25/2019,2019-November,11364(a) HS,11377(A) HS,O/W MISD,M,Hispanic,38,Drug paraphernalia,Health & Safety,36-45,Hispanic
11/25/2019,2019-November,148(a)(1) PC,647(f) PC,,M,White,33,Resist Arrest,Penal Code - Public Justice,26-35,White
11/26/2019,2019-November,273.5(A) PC,13700 PC,,M,Black,32,Corporal Injury spouse/partner,Penal Code - Against person,26-35,African-Amer
11/26/2019,2019-November,11350(A) HS,11377(A) HS,,M,White,30,Possession - controlled subst,Health & Safety,26-35,White
11/26/2019,2019-November,490.5(A) PC,242 PC,,M,White,50,Petty Theft,Penal Code - Larceny,46-55,White
11/27/2019,2019-November,11350(A) HS,,,M,White,27,Possession - controlled subst,Health & Safety,26-35,White
11/27/2019,2019-November,11377(A) HS,21310 PC,,M,White,27,Possession - controlled subst,Health & Safety,26-35,White
11/27/2019,2019-November,647(f) PC,,,M,White,31,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
11/30/2019,2019-November,487(A) PC,10852 VC,11377(A) HS,M,Other,29,Grand Theft,Penal Code - Larceny,26-35,Other
12/01/2019,2019-December,23152(b) VC,23152(a) VC,,F,White,23,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
12/01/2019,2019-December,594(b)(1) PC,11377(A) HS,,M,White,46,Vandalism,Penal Code - Mal Misch & Disord Cond,46-55,White
12/02/2019,2019-December,11364(a) HS,148(a)(1) PC,488 PC,M,Hispanic,22,Drug paraphernalia,Health & Safety,18-25,Hispanic
12/02/2019,2019-December,11377(A) HS,12500(A) VC,,M,Hispanic,29,Possession - controlled subst,Health & Safety,26-35,Hispanic
12/03/2019,2019-December,11378 HS,11379(A) HS,,M,White,33,Possession for sale - contr subst,Health & Safety,26-35,White
12/04/2019,2019-December,166(A)(4) PC,,,M,White,22,Violation of a Court Order,Penal Code - Public Justice,18-25,White
12/04/2019,2019-December,11364(a) HS,11377(A) HS,,F,White,53,Drug paraphernalia,Health & Safety,46-55,White
12/05/2019,2019-December,182(A)(1) PC,459.5 (a) PC,487(A) PC,F,Black,28,Conspiracy to commit a crime,Penal Code - Public Justice,26-35,African-Amer
12/05/2019,2019-December,182(A)(1) PC,459.5 (a) PC,487(A) PC,F,Hispanic,28,Conspiracy to commit a crime,Penal Code - Public Justice,26-35,Hispanic
12/05/2019,2019-December,11351 HS,11352(A) HS,11378 HS,M,Hawaiian,52,Possession for sale - contr subst,Health & Safety,46-55,Pacific Islands
12/05/2019,2019-December,496(A) PC,,,M,White,26,Receives Stolen Property,Penal Code - Larceny,26-35,White
12/06/2019,2019-December,11377(A) HS,11364(a) HS,,M,Hispanic,34,Possession - controlled subst,Health & Safety,26-35,Hispanic
12/07/2019,2019-December,459 PC,182(A)(1) PC,417.2(A) PC,M,Black,32,Burglary,Penal Code - Property Crimes,26-35,African-Amer
12/07/2019,2019-December,148.9(A) PC,182(A)(1) PC,459 PC,M,Hispanic,40,Misrepresents to a PO,Penal Code - Public Justice,36-45,Hispanic
12/07/2019,2019-December,459 PC,182(A)(1) PC,O/W MISD,M,Hispanic,58,Burglary,Penal Code - Property Crimes,56-65,Hispanic
12/07/2019,2019-December,273.5(A) PC,13700 PC,,M,White,23,Corporal Injury spouse/partner,Penal Code - Against person,18-25,White
12/07/2019,2019-December,459 PC,182(A)(1) PC,,M,White,42,Burglary,Penal Code - Property Crimes,36-45,White
12/08/2019,2019-December,23152(a) VC,23152(b) VC,1203.2(a)(1) PC,M,White,31,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
12/08/2019,2019-December,647(f) PC,3455(a) PC,,M,White,34,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
12/08/2019,2019-December,490.5(A) PC,,,M,White,41,Petty Theft,Penal Code - Larceny,36-45,White
12/09/2019,2019-December,11364(a) HS,,,M,Black,55,Drug paraphernalia,Health & Safety,46-55,African-Amer
12/09/2019,2019-December,11377(A) HS,,,M,White,56,Possession - controlled subst,Health & Safety,56-65,White
12/09/2019,2019-December,11364(a) HS,11378 HS,11379(A) HS,M,White,60,Drug paraphernalia,Health & Safety,56-65,White
12/10/2019,2019-December,10851(A) VC,1203.2(a)(4) PC,,M,Black,38,car theft or tampering,Vehicle Code,36-45,African-Amer
12/11/2019,2019-December,11364(a) HS,O/W MISD,,M,Hispanic,54,Drug paraphernalia,Health & Safety,46-55,Hispanic
12/12/2019,2019-December,11550(A) HS,,,M,Black,22,Under the Influence - Narcotics,Health & Safety,18-25,African-Amer
12/12/2019,2019-December,490.5(A) PC,,,F,White,19,Petty Theft,Penal Code - Larceny,18-25,White
12/13/2019,2019-December,23152(a) VC,23152(b) VC,,F,Chinese,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
12/13/2019,2019-December,182(A)(1) PC,211 PC,,F,Hispanic,18,Conspiracy to commit a crime,Penal Code - Public Justice,18-25,Hispanic
12/13/2019,2019-December,240 PC,,,M,White,25,Assault,Penal Code - Against person,18-25,White
12/14/2019,2019-December,243(d) PC,647(f) PC,,M,Hispanic,33,Battery on a person,Penal Code - Against person,26-35,Hispanic
12/14/2019,2019-December,69 PC,,,M,White,20,Interfere/Obstruct/Threat Officer,Penal Code,18-25,White
12/15/2019,2019-December,273.5(A) PC,,,M,Hispanic,32,Corporal Injury spouse/partner,Penal Code - Against person,26-35,Hispanic
12/15/2019,2019-December,11364(a) HS,11377(A) HS,,M,White,36,Drug paraphernalia,Health & Safety,36-45,White
12/15/2019,2019-December,11379(A) HS,11378 HS,11364(a) HS,M,White,68,Attempted sale etc. - Controlled,Health & Safety,66+,White
12/17/2019,2019-December,496(A) PC,537E(A)(2) PC,,M,White,23,Receives Stolen Property,Penal Code - Larceny,18-25,White
12/18/2019,2019-December,594(b)(3) PC,,,M,Black,39,Vandalism,Penal Code - Mal Misch & Disord Cond,36-45,African-Amer
12/18/2019,2019-December,647(f) PC,,,M,Asian Indian,30,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,Asian
12/18/2019,2019-December,594(b)(1) PC,,,M,White,27,Vandalism,Penal Code - Mal Misch & Disord Cond,26-35,White
12/19/2019,2019-December,459 PC,21310 PC,,M,White,29,Burglary,Penal Code - Property Crimes,26-35,White
12/22/2019,2019-December,23140(a) VC,23152(a) VC,23152(b) VC,M,Other,19,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Other
12/22/2019,2019-December,664/211 PC,166(A)(4) PC,,M,White,31,Att Robbery,Penal Code - Against person,26-35,White
12/23/2019,2019-December,11377(A) HS,11364(a) HS,,F,White,37,Possession - controlled subst,Health & Safety,36-45,White
12/23/2019,2019-December,11364(a) HS,11377(A) HS,,M,White,43,Drug paraphernalia,Health & Safety,36-45,White
12/24/2019,2019-December,11364(a) HS,11377(A) HS,,M,White,37,Drug paraphernalia,Health & Safety,36-45,White
12/24/2019,2019-December,11364(a) HS,11378 HS,11379(A) HS,M,White,64,Drug paraphernalia,Health & Safety,56-65,White
12/25/2019,2019-December,23152(f) VC,12500(A) VC,11350(A) HS,M,White,31,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
12/25/2019,2019-December,23152(a) VC,23152(b) VC,23152(f) VC,M,White,47,Drug or EtOH vehicle violtion,Vehicle Code,46-55,White
12/26/2019,2019-December,647(f) PC,,,M,Hispanic,28,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,Hispanic
12/26/2019,2019-December,11364(a) HS,11377(A) HS,,M,Hispanic,40,Drug paraphernalia,Health & Safety,36-45,Hispanic
12/27/2019,2019-December,11350(A) HS,11550(A) HS,,M,White,29,Possession - controlled subst,Health & Safety,26-35,White
12/29/2019,2019-December,490.5(A) PC,,,M,Black,23,Petty Theft,Penal Code - Larceny,18-25,African-Amer
12/29/2019,2019-December,646.9(B) PC,273.6(A) PC,,M,Black,45,Harrassment when prot order in place,Penal Code - Mal Misch & Disord Cond,36-45,African-Amer
12/31/2019,2019-December,602.5(A) PC,,,M,Other,21,Illegal occupancy of building w/out consent,Penal Code - Mal Misch & Disord Cond,18-25,Other
12/31/2019,2019-December,11364(a) HS,,,M,White,29,Drug paraphernalia,Health & Safety,26-35,White
12/31/2019,2019-December,11377(A) HS,11364(a) HS,,M,White,30,Possession - controlled subst,Health & Safety,26-35,White
12/31/2019,2019-December,236 PC,243(e)(1) PC,,M,Unknown,30,False Imprisonment,Penal Code - Against person,26-35,
01/01/2020,2020-January,11364(a) HS,,,M,White,35,Drug paraphernalia,Health & Safety,26-35,White
01/02/2020,2020-January,11377(A) HS,,,M,Black,58,Possession - controlled subst,Health & Safety,56-65,African-Amer
01/02/2020,2020-January,4573 PC,3056 PC,11377(A) HS,M,Hispanic,37,Drugs into jail/prison,Penal Code,36-45,Hispanic
01/03/2020,2020-January,490.5(A) PC,,,M,White,20,Petty Theft,Penal Code - Larceny,18-25,White
01/04/2020,2020-January,647(f) PC,,,M,White,31,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
01/06/2020,2020-January,245(A)(1) PC,273.5(A) PC,273.6(A) PC,M,Hispanic,26,Assault with a deadly weapon,Penal Code - Against person,26-35,Hispanic
01/06/2020,2020-January,647(f) PC,,,M,White,33,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
01/06/2020,2020-January,11364(a) HS,11377(A) HS,,M,White,35,Drug paraphernalia,Health & Safety,26-35,White
01/06/2020,2020-January,4462.5 VC,14601.2(A) VC,,M,White,36,Registration,Vehicle Code,36-45,White
01/06/2020,2020-January,594(a) PC,,,M,White,39,Vandalism,Penal Code - Mal Misch & Disord Cond,36-45,White
01/08/2020,2020-January,273.5(A) PC,,,M,Black,23,Corporal Injury spouse/partner,Penal Code - Against person,18-25,African-Amer
01/08/2020,2020-January,11377(A) HS,14601.1(A) VC,,M,White,24,Possession - controlled subst,Health & Safety,18-25,White
01/09/2020,2020-January,11364(a) HS,,,F,Hispanic,31,Drug paraphernalia,Health & Safety,26-35,Hispanic
01/09/2020,2020-January,23152(a) VC,23152(b) VC,,M,Other,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Other
01/09/2020,2020-January,11350(A) HS,11377(A) HS,148.9(A) PC,F,White,22,Possession - controlled subst,Health & Safety,18-25,White
01/09/2020,2020-January,11377(A) HS,11364(a) HS,,M,White,30,Possession - controlled subst,Health & Safety,26-35,White
01/09/2020,2020-January,11377(A) HS,,,F,White,57,Possession - controlled subst,Health & Safety,56-65,White
01/09/2020,2020-January,11377(A) HS,,,M,White,65,Possession - controlled subst,Health & Safety,56-65,White
01/10/2020,2020-January,211 PC,11364(a) HS,,M,Black,57,Robbery,Penal Code - Against person,56-65,African-Amer
01/10/2020,2020-January,273.5(A) PC,,,M,Chinese,19,Corporal Injury spouse/partner,Penal Code - Against person,18-25,Asian
01/11/2020,2020-January,647(f) PC,,,M,White,44,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
01/12/2020,2020-January,11377(A) HS,,,M,White,55,Possession - controlled subst,Health & Safety,46-55,White
01/14/2020,2020-January,23110(B) VC,594(b)(1) PC,148(a)(1) PC,M,White,29,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
01/15/2020,2020-January,273a(b),,,F,Black,28,Child Injury,Penal Code - Against person,26-35,African-Amer
01/16/2020,2020-January,2800.2 VC,148(a)(1) PC,647(h) PC,M,Black,46,Fleeing from PO,Vehicle Code,46-55,African-Amer
01/18/2020,2020-January,273.5(A) PC,236 PC,243(d) PC,M,Black,22,Corporal Injury spouse/partner,Penal Code - Against person,18-25,African-Amer
01/19/2020,2020-January,14601.1(A) VC,4000(a) VC,,M,Black,43,license violation,Vehicle Code,36-45,African-Amer
01/19/2020,2020-January,243(e)(1) PC,13700 PC,,M,Hispanic,32,Battery on a spouse/partner,Penal Code - Against person,26-35,Hispanic
